home_team,away_team,p_home_win,p_draw,p_away_win,xg_home,xg_away,likely_score,likely_score_%,favourite,favourite_p,group,round
United States,Panama,81.3,10.7,8.0,2.12,0.69,2-0,13.5,United States,81.3,A,Group Stage
United States,Honduras,82.7,10.1,7.3,2.16,0.66,2-0,13.9,United States,82.7,A,Group Stage
United States,Jamaica,79.0,12.0,9.0,2.05,0.7,2-0,13.5,United States,79.0,A,Group Stage
Panama,Honduras,44.4,25.8,29.8,1.31,0.95,1-0,13.6,Panama,44.4,A,Group Stage
Panama,Jamaica,40.3,25.4,34.3,1.24,1.01,1-1,13.2,Panama,40.3,A,Group Stage
Honduras,Jamaica,41.3,26.3,32.5,1.24,1.1,1-1,13.1,Honduras,41.3,A,Group Stage
Mexico,Canada,58.4,21.3,20.3,1.55,0.9,1-0,13.3,Mexico,58.4,B,Group Stage
Mexico,Ecuador,61.0,21.2,17.8,1.48,1.11,1-1,12.3,Mexico,61.0,B,Group Stage
Mexico,Venezuela,67.6,20.1,12.3,1.9,0.78,1-0,13.0,Mexico,67.6,B,Group Stage
Canada,Ecuador,48.6,24.2,27.2,1.22,1.1,1-1,13.2,Canada,48.6,B,Group Stage
Canada,Venezuela,60.8,22.5,16.7,1.57,0.77,1-0,15.1,Canada,60.8,B,Group Stage
Ecuador,Venezuela,60.6,21.1,18.3,1.71,0.74,1-0,14.7,Ecuador,60.6,B,Group Stage
Brazil,Paraguay,87.7,6.8,5.5,2.97,0.53,2-0,13.4,Brazil,87.7,C,Group Stage
Brazil,Colombia,60.0,22.1,17.9,1.72,0.87,1-0,12.9,Brazil,60.0,C,Group Stage
Brazil,Bolivia,86.2,7.5,6.3,3.15,0.47,3-0,13.9,Brazil,86.2,C,Group Stage
Paraguay,Colombia,19.9,21.9,58.1,0.74,1.82,0-1,14.1,Colombia,58.1,C,Group Stage
Paraguay,Bolivia,41.9,28.6,29.5,1.35,0.99,1-0,12.9,Paraguay,41.9,C,Group Stage
Colombia,Bolivia,83.7,9.2,7.1,2.55,0.58,2-0,14.2,Colombia,83.7,C,Group Stage
Argentina,Uruguay,57.8,24.8,17.4,2.11,0.72,2-0,13.1,Argentina,57.8,D,Group Stage
Argentina,Chile,80.2,13.0,6.8,2.67,0.52,2-0,14.7,Argentina,80.2,D,Group Stage
Argentina,Peru,82.3,11.8,5.9,3.18,0.47,3-0,13.9,Argentina,82.3,D,Group Stage
Uruguay,Chile,66.8,19.4,13.8,1.71,0.81,1-0,13.7,Uruguay,66.8,D,Group Stage
Uruguay,Peru,69.5,19.2,11.2,2.04,0.73,2-0,13.0,Uruguay,69.5,D,Group Stage
Chile,Peru,54.7,21.2,24.1,1.67,0.96,1-0,12.0,Chile,54.7,D,Group Stage
England,Ireland Republic,74.5,16.7,8.8,2.24,0.71,2-0,13.1,England,74.5,E,Group Stage
England,Hungary,76.3,15.1,8.6,2.45,0.62,2-0,14.0,England,76.3,E,Group Stage
England,Albania,80.9,11.9,7.2,2.46,0.62,2-0,14.0,England,80.9,E,Group Stage
Ireland Republic,Hungary,47.0,26.1,26.9,1.46,1.03,1-1,12.5,Ireland Republic,47.0,E,Group Stage
Ireland Republic,Albania,47.8,24.4,27.7,1.46,1.03,1-1,12.5,Ireland Republic,47.8,E,Group Stage
Hungary,Albania,44.6,28.5,26.9,1.33,1.02,1-1,13.0,Hungary,44.6,E,Group Stage
